"plot","habitat","tag_number","year","shts","ht","code.notes"
"5756","CF",690,2000,1,17,NA
"5756","CF",690,2001,2,26,NA
"5756","CF",690,2002,1,38,NA
"5756","CF",690,2003,1,35,NA
"5756","CF",690,2004,3,45,NA
"5756","CF",690,2005,3,33,NA
"5756","CF",690,2006,NA,NA,"dead (2)"
"5756","CF",690,2007,3,46,NA
"5756","CF",690,2008,3,47,NA
"5756","CF",690,2009,2,55,NA
"5756","CF",707,2000,1,8,"sdlg (1)"
"5756","CF",707,2001,1,5,NA
"5756","CF",707,2002,1,3,NA
"5756","CF",707,2003,1,3,NA
"5756","CF",707,2004,NA,NA,"dead (2)"
"5756","CF",707,2005,NA,NA,NA
"5756","CF",707,2006,NA,NA,NA
"5756","CF",707,2007,2,18,NA
"5756","CF",707,2008,NA,NA,NA
"5756","CF",707,2009,NA,NA,NA
"5756","CF",793,2000,1,11,"sdlg (1)"
"5756","CF",793,2001,1,13,NA
"5756","CF",793,2002,2,17,NA
"5756","CF",793,2003,2,22,NA
"5756","CF",793,2004,2,19,NA
"5756","CF",793,2005,NA,NA,"dead (2)"
"5756","CF",793,2006,NA,NA,NA
"5756","CF",793,2007,1,14,NA
"5756","CF",793,2008,1,10,NA
"5756","CF",793,2009,1,7,NA
"5756","CF",816,2000,1,7,"sdlg (1)"
"5756","CF",816,2000,NA,NA,NA
"5756","CF",816,2001,1,10,NA
"5756","CF",816,2001,NA,NA,NA
"5756","CF",816,2002,NA,NA,"dead (2)"
"5756","CF",816,2002,NA,NA,NA
"5756","CF",816,2003,NA,NA,NA
"5756","CF",816,2003,NA,NA,NA
"5756","CF",816,2004,NA,NA,NA
"5756","CF",816,2004,NA,NA,NA
"5756","CF",816,2005,NA,NA,NA
"5756","CF",816,2005,NA,NA,NA
"5756","CF",816,2006,NA,NA,NA
"5756","CF",816,2006,NA,NA,NA
"5756","CF",816,2007,NA,NA,NA
"5756","CF",816,2007,NA,NA,NA
"5756","CF",816,2008,NA,NA,NA
"5756","CF",816,2008,NA,NA,NA
"5756","CF",816,2009,NA,NA,NA
"5756","CF",816,2009,4,70,NA
"5756","CF",929,2001,1,5,"sdlg (1)"
"5756","CF",929,2001,NA,NA,NA
"5756","CF",929,2002,NA,NA,"dead (2)"
"5756","CF",929,2002,NA,NA,NA
"5756","CF",929,2003,NA,NA,NA
"5756","CF",929,2003,NA,NA,NA
"5756","CF",929,2004,NA,NA,NA
"5756","CF",929,2004,NA,NA,NA
"5756","CF",929,2005,NA,NA,NA
"5756","CF",929,2005,NA,NA,NA
"5756","CF",929,2006,NA,NA,NA
"5756","CF",929,2006,NA,NA,NA
"5756","CF",929,2007,NA,NA,NA
"5756","CF",929,2007,1,17,"sdlg (1)"
"5756","CF",929,2008,NA,NA,NA
"5756","CF",929,2008,NA,NA,NA
"5756","CF",929,2009,NA,NA,NA
"5756","CF",929,2009,NA,NA,NA
"5756","CF",933,2001,1,14,"sdlg (1)"
"5756","CF",933,2002,1,10,NA
"5756","CF",933,2003,1,5,NA
"5756","CF",933,2004,1,10,NA
"5756","CF",933,2005,NA,NA,"dead (2)"
"5756","CF",933,2006,7,70,NA
"5756","CF",933,2007,10,72,NA
"5756","CF",933,2008,7,74,NA
"5756","CF",933,2009,5,74,NA
"5756","CF",1292,2004,1,7,"sdlg (1)"
"5756","CF",1292,2005,NA,NA,"dead (2)"
"5756","CF",1292,2006,1,10,NA
"5756","CF",1292,2007,1,10,NA
"5756","CF",1292,2008,1,6,NA
"5756","CF",1292,2009,1,5,NA
"5756","CF",1294,2005,1,11,"sdlg (1)"
"5756","CF",1294,2006,NA,NA,"dead (2)"
"5756","CF",1294,2007,1,8,NA
"5756","CF",1294,2008,1,9,NA
"5756","CF",1294,2009,1,7,NA
"CaboFrio-CF","CF",2121,2006,1,6,"sdlg (1)"
"CaboFrio-CF","CF",2121,2006,NA,NA,NA
"CaboFrio-CF","CF",2121,2007,1,8,NA
"CaboFrio-CF","CF",2121,2007,NA,NA,NA
"CaboFrio-CF","CF",2121,2008,1,9,NA
"CaboFrio-CF","CF",2121,2008,NA,NA,NA
"CaboFrio-CF","CF",2121,2009,NA,NA,"dead (2)"
"CaboFrio-CF","CF",2121,2009,1,6,NA
"Dimona-CF","CF",81,1998,1,25,NA
"Dimona-CF","CF",81,1999,2,30,NA
"Dimona-CF","CF",81,2000,NA,NA,"plant missing (60)"
"Dimona-CF","CF",81,2001,2,42,NA
"Dimona-CF","CF",81,2002,2,33,NA
"Dimona-CF","CF",81,2003,1,31,NA
"Dimona-CF","CF",81,2004,2,28,NA
"Dimona-CF","CF",81,2005,2,49,NA
"Dimona-CF","CF",81,2006,NA,NA,"dead (2)"
"Dimona-CF","CF",81,2007,1,9,NA
"Dimona-CF","CF",81,2008,NA,NA,NA
"Dimona-CF","CF",81,2009,NA,NA,NA
"Florestal-CF","CF",1,1998,2,23,NA
"Florestal-CF","CF",1,1999,NA,NA,"plant missing (60)"
"Florestal-CF","CF",1,2000,NA,NA,"plant missing (60)"
"Florestal-CF","CF",1,2001,4,29,NA
"Florestal-CF","CF",1,2002,5,32,NA
"Florestal-CF","CF",1,2003,4,48,NA
"Florestal-CF","CF",1,2004,3,52,NA
"Florestal-CF","CF",1,2005,NA,NA,"dead (2)"
"Florestal-CF","CF",1,2006,1,24,NA
"Florestal-CF","CF",1,2007,1,32,NA
"Florestal-CF","CF",1,2008,1,12,NA
"Florestal-CF","CF",1,2009,2,25,NA
"Florestal-CF","CF",1508,2003,1,7,"sdlg (1)"
"Florestal-CF","CF",1508,2004,NA,NA,"dead (2)"
"Florestal-CF","CF",1508,2005,NA,NA,NA
"Florestal-CF","CF",1508,2006,1,9,NA
"Florestal-CF","CF",1508,2007,NA,NA,"plant missing (60)"
"Florestal-CF","CF",1508,2008,NA,NA,NA
"Florestal-CF","CF",1508,2009,NA,NA,NA
"PortoAlegre-CF","CF",238,2004,1,15,"sdlg (1)"
"PortoAlegre-CF","CF",238,2005,1,15,NA
"PortoAlegre-CF","CF",238,2006,NA,NA,"dead (2)"
"PortoAlegre-CF","CF",238,2007,1,20,NA
"PortoAlegre-CF","CF",238,2008,3,23,NA
"PortoAlegre-CF","CF",238,2009,2,24,NA
